caption.sv,uuid
"Apelgren, Frans August (1866 - )",6d9a54f3-89ee-4d58-b6c1-a51cf12b4a06
"Apelqvist, Augusta Sofia (1866 - )",74aae6aa-e2d2-4418-a573-ebbf45b202ed
"Appelblad, Anna (1865 - 1944)",738a7973-2089-4f3c-bdf1-ef1c5dae6c79
"Appelblad, Carl Thure (1858 - 1935)",a0112302-9c2c-4068-a75d-4dc7600570ab
"Appelblad, Gustaf Robert (1863 - )",2a94bbe3-c048-4abb-bee7-0195556e1fd5
"Appelqvist, Augusta Sofia (1866 - 1950)",00b0ac41-9e11-4862-adc4-e0747cce34b7
"Armfeldt, Sigrid Märta Hedvig (1894 - 1973)",7ebdace3-ee00-4ac0-9a6c-d7ce28a03130
"Arnberg, Elise (1826 - 1891)",53d0caf1-e9bb-472e-a467-dcbed7fb7e63
"Arnberg, Thure (1810 - 1866)",23a8a2da-027c-4408-a989-73960a391030
"Arndt, Herman (1882 - 1962)",156602a2-0549-43a5-8395-a305328d038c
"Arnholtz, Emmanuel Lor Jul Tom (1865 - )",b90c5b6d-c63e-4ea2-b76a-537bcc07054f
"Arnsbjer, Tage Helmer (1923 - 1984)",f35669a5-c36c-47b0-931b-c3cf61d2393c
"Aronsson, Eman (1877 - )",72191c90-6904-4eac-94ef-0f746170a8f7
"Aronzon, Isak Emanuel (1871 - 1911)",397b933b-b603-4871-a7c9-364455feca35
"Arosenius, Agnes (1830 - 1870)",9858cb8a-0e86-4bb5-99d7-15ae30365bf8
"Arrhenius, Brita Maria Margareta Sofia (1866 - 1937)",82d56c0f-ab52-4554-b5e5-879373f2f75f
"Arsenius, Anna Maria (1874 - 1964)",3d837488-6ada-4a0e-a779-67f8303174b3
"Arvidson, E. Frans (1861 - 1908)",451ed188-b19a-4bfa-be30-5d3b0b76b932
"Arvidsson, Frans Edvard (1862 - 1909)",3696058e-9057-4c21-a2d3-aa8068f4aa97
"Arvidsson, Karin (1869 - )",42623d0b-1433-42e0-aedc-93ef2ab60017
"Arvidsson, Olof Valfrid (1892 - 1963)",2ef1450d-7859-43bb-8cd3-9e79be8c3cc9
"Aschberg, Olof Ragnar (1903 - 1996)",2a13337f-2229-4b23-ac4a-a63bae48acb5
"Askberg, Karl Gustaf (1867 - 1943)",13e39a94-27c5-4f37-a0db-91eebfe45141
"Asker, Julie (1846 - 1927)",2038ca49-2649-42cb-abb9-731e55b71e16
"Asker, Vilhelm (1866 - 1941)",60cefad8-77d1-4846-b275-ad49a9b1a1f7
"Askling, Axel (1855 - 1917)",9eb2fa23-c4b2-4bdd-918e-73e62f1214b4
"Askling, Karl August (1833 - 1912)",ee5377a1-12d1-4014-8812-833eeab6b6b2
"Asklund, Knut Alexius (1890 - 1920)",9c2b2589-9312-430a-a065-669291e0ff00
"Asp, Edward (1862 - 1919)",ca28efc4-ddc1-44c6-952a-2af29b3f3463
"Aspán, Anders Leonard (1867 - )",faeeb21e-a900-42bc-b375-2c13fe201b34
"Aspán, Anders Leonard (1867 - 1959)",6c343a05-8c2e-4248-a359-64934128fda3
"Asperen, Jaeques Hilmer Israel (1878 - 1953)",96f4ef66-cb8c-4452-a603-e10c494fc5ad
"Aspling, Johan Axel (1855 - 1885)",7881382d-7712-4124-a26d-cda496512528
"Assbring, Göran (1950 - 1983)",74142783-b0cb-4c8b-bc12-6ed057d64721
"Atterling, Frida (1880 - 1968)",b3b1b430-f957-44cf-a32a-cf19ca2f0621
"Atterman, Ingemar (1906 - 1993)",bef14596-7dc0-4c55-82da-a6a285b0bb08
"Aulin, Hedvig (1873 - 1935)",6ae47937-4d4b-4888-95c2-eb44289497dd
"Aurelius, Axel Theodor (1870 - 1956)",cd690d53-7ce3-421e-b22e-5032220cf4f3
"Aurelius, Freja (1882 - 1950)",0ad6ee50-2050-4f25-82ee-05e8ad00052e
"Avén, Johan Anton (1861 - 1914)",37fc59f1-4bfd-45fd-a3c4-35b5cce39c2c
"Axberg, Kaleb (1875 - 1941)",0fcecc0f-c6cf-4889-b500-978fc346ac3f
"Axelson, Carl Edw. (1868 - )",4a482d23-510f-4713-9666-0db88f04362d
"Axelsson, Adolfina Kristina (1844 - 1935)",ff63d87d-0ef9-4867-b133-8ccc87892f3b
"Axelsson, Karl Edvard (1863 - 1944)",2d6e7f93-ac97-47c5-9357-d9aa04a06014
"Axelsson, Robert (1836 - 1891)",e0bf041e-ddfe-4b37-852d-1e8bc0a75915
"Axling, Agnes (1858 - )",e31a34f0-9a65-4e34-94a0-c62663fc0583
"Axner, Siri (1880 - 1955)",d260dabc-88b3-4240-82af-5e3cf39400f7
"Back, Alfred (1866 - 1938)",319b151c-512d-4315-a40f-9d980953e447
"Back, Lennart (1960 - 1967)",1c4b5ba4-40be-4436-8ca4-7530443da1a7
"Backlund, Anna (1842 - 1928)",12a7bfb9-79a8-4b01-830c-ffef67aa579c
"Backlund, Eveline Dagny (1903 - 1991)",1a873ff5-d579-4e49-920f-ba667c3331a6
"Backman, Brita Lovisa (1880 - 1954)",321b3c77-36b1-4fed-8c92-0d20f05dace3
Baeckström (1859 - 1916),af4ac28c-cbfd-465f-ae15-cc3dec2d7187
"Bager, Harald (1856 - 1932)",0c817ace-9719-4702-b1c4-05961b26a0a2
"Bagge, Carl Magnus (1879 - 1955)",4cf0625e-c61e-4d88-9000-a63038f8a3c1
"Bagge, Charlotta Albertina (1817 - 1895)",f161262a-6313-40e7-b78e-65710950622a
"Bagge, Nils (1877 - 1920)",2aca4704-d91e-44ce-ba66-ec0ab4c8aa53
"Bagge, Nils Jakob (1848 - 1892)",fe9456e3-209b-4c31-b5b5-7f34d71bbe56
"Bagge, Per Aug. (1866 - 1936)",e1feb6a2-b827-499f-aedf-9b2be161e21c
"Bagge, Thekla Amalia (1859 - )",72f06999-2570-40b3-9bc6-ec1dfcd8320a
"Bagge, Valborg (1878 - 1951)",2e03f529-8d60-4b70-b249-60b48ee45b68
"Baggström, Karolina (1866 - 1949)",dedeb37c-e6df-49c4-984d-56b79ecaf7ae
"Bankler, Gottfrid (1888 - 1937)",151439a8-54a1-4b72-b243-42f15c37477b
"Bardach, Gustaf Herman (1865 - 1936)",83e26bb2-dfa3-4aba-a4e4-92572923cc38
"Bardach, Herman (1831 - 1906)",f1cce344-a4ed-4593-8e9d-6e66a61b2e99
"Bardach, Hjalmar Leonard (1871 - 1957)",5c70df88-c421-4354-b0f2-2ba1f59167a9
"Bardach, Rudolf Mauritz (1876 - 1950)",e7c4b2c9-017e-434c-a1e4-4c18d4627493
"Barkström, Carl (1876 - 1939)",aa4e166c-9684-4728-b4f8-41648a89568e
"Barr, Axel (1862 - 1938)",9f36589c-c1f3-486a-b7c5-3535a364a924
"Barrel, Ida (1889 - 1967)",64c9f4f1-a3ef-42c8-b74a-91b8ee01a16d
"Barthelson, Karl Henrik (1866 - 1938)",4283974b-84cf-451d-ae3c-cee9f665df69
"Bauer, Anders Walter (1912 - 1994)",9611f7f3-ac47-4bbc-991b-f9e74de4c088
"Beamish, Emma Charlotta (1840 - 1895)",7456457a-815c-4b0f-abf9-3a68c70faba6
"Beck, Johan Viktor (1852 - 1934)",c82ea81a-ddaa-46c0-963c-03c5d172d7ae
"Becker, Wilhelm J:r (1875 - 1910)",4828ce6c-c43f-412e-8b21-ca1fdcb49b06
"Beckman, Fredric Otto (1834 - )",8b650d59-28ce-4991-a579-9fcc4beba7d1
"Beckman, Nils Johan (1901 - )",40ac942d-29a9-496b-9c44-b848c88a97d9
"Beckman, Paulina (1833 - 1895)",36c0c538-3770-42b6-8664-c4d63eea8874
"Beerman, Bele (1911 - 1966)",7439491d-a0b3-47a5-ba30-0e44e6b4bc1f
"Beijer, Hugo (1868 - 1925)",e3cf9c7a-a16d-4fd6-956d-b0a23d88bf87
