caption.sv,uuid
"Maria Jonns Eftr., Ida Ekelund (Fotograffirma)",2869900d-3e09-41e7-b752-8032a02b38c8
Maria Kihlbaums fotoateljé (Fotograffirma),ca70e6ad-0471-444f-8236-c0986e785683
Mathilda Jansons Eftr. (Fotograffirma),bf2abce9-094d-4728-874a-24a1a690b289
Matilda Engström/Ad. Lidwall (Fotograffirma),c60295a3-38f4-4247-8bab-faad809d5a81
Mina Bolin (Fotograffirma),64818dfd-e711-4b93-a2c5-22a4f757e21c
Mina Clausén & Amalia Blomberg (Fotograffirma),a5b29cd7-a707-44d2-b498-4724a2c0821c
Märta Bomans Eft. (Fotograffirma),87353876-2b49-4245-b0d9-913369cef7fd
N. G. Hagman Atelier (Fotograffirma),5def4e7f-81f6-44cf-8b8e-7869e6e4fe1b
N. G. Hagman Institut (Fotograffirma),04de3c12-02ba-4452-bb69-6daf7e58b014
Nanny Koskinens Atelier (Fotograffirma),c565308e-61c2-44bd-97c7-decf5bcb3aee
Néa-foto (Fotograffirma),597576f0-3d0b-4184-83a3-bdf8bf138ea8
Neander & Andersson (Fotograffirma),d1ec5ff2-1ba3-426c-a18f-a77b8640380f
Numa Petersons handels och fabriksaktiebolag (Fotograffirma),f668fc51-32a0-431a-a06f-9ee7666b2cfe
O. F. Hagman (Fotograffirma),6d0d68d1-5dc2-4e18-a614-397050f827c8
